parent_id,repeat_count,guard_utility_mean,R_utility_mean,delta_utility,guard_completed_delta_mean,R_completed_delta_mean,delta_completed_delta,guard_all_task_completed_mean,R_all_task_completed_mean,delta_all_task_completed,guard_on_time_physical_mean,R_on_time_physical_mean,delta_on_time_physical,guard_on_time_host_mean,R_on_time_host_mean,delta_on_time_host,guard_energy_used_mean,R_energy_used_mean,delta_energy_used,guard_accepted_count_mean,R_accepted_count_mean,delta_accepted_count,guard_rejected_count_mean,R_rejected_count_mean,delta_rejected_count,guard_task_unavailable_count_mean,R_task_unavailable_count_mean,delta_task_unavailable_count,guard_submit_count_mean,R_submit_count_mean,delta_submit_count,guard_noop_count_from_actions_mean,R_noop_count_from_actions_mean,delta_noop_count_from_actions,guard_env_steps_mean,R_env_steps_mean,delta_env_steps,guard_actor_forward_calls_mean,R_actor_forward_calls_mean,delta_actor_forward_calls,guard_world_forward_calls_mean,R_world_forward_calls_mean,delta_world_forward_calls
parent-00,3,0.34877868659392175,0.3415504474356538,0.007228239158267924,6.0,6.0,0.0,6.0,6.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,6.195314892089662,6.747812098331252,-0.5524972062415898,5.0,5.0,0.0,2.0,6.0,-4.0,0.0,5.0,-5.0,10.0,13.0,-3.0,3.0,2.0,1.0,10.0,13.0,-3.0,10.0,13.0,-3.0,10.0,13.0,-3.0
parent-01,3,0.18464639530479662,0.2174880180294699,-0.03284162272467328,4.666666666666667,5.0,-0.33333333333333304,4.666666666666667,5.0,-0.33333333333333304,2.0,1.0,1.0,2.0,1.0,1.0,6.294754239239904,6.4122265018163915,-0.1174722625764879,6.333333333333333,5.0,1.333333333333333,3.3333333333333335,5.0,-1.6666666666666665,0.0,4.666666666666667,-4.666666666666667,13.0,13.0,0.0,3.3333333333333335,3.0,0.3333333333333335,13.0,13.0,0.0,13.0,13.0,0.0,13.0,13.0,0.0
parent-02,3,0.18981556535424712,0.10091512944501656,0.08890043590923057,4.666666666666667,4.0,0.666666666666667,4.666666666666667,4.0,0.666666666666667,2.0,1.0,1.0,2.0,1.0,1.0,5.149496362773523,5.262654846412469,-0.1131584836389461,3.6666666666666665,3.6666666666666665,0.0,3.3333333333333335,5.333333333333333,-1.9999999999999996,0.0,4.0,-4.0,12.666666666666666,14.0,-1.333333333333334,5.666666666666667,5.0,0.666666666666667,12.666666666666666,14.0,-1.333333333333334,12.666666666666666,14.0,-1.333333333333334,12.666666666666666,14.0,-1.333333333333334
parent-03,3,0.3076927061159706,0.3419914755049926,-0.03429876938902199,5.666666666666667,6.0,-0.33333333333333304,5.666666666666667,6.0,-0.33333333333333304,2.0,2.0,0.0,2.0,2.0,0.0,5.865970062426297,6.187051767281538,-0.32108170485524123,6.0,5.0,1.0,1.3333333333333333,7.0,-5.666666666666667,0.0,4.666666666666667,-4.666666666666667,10.333333333333334,13.0,-2.666666666666666,3.0,1.0,2.0,10.333333333333334,13.0,-2.666666666666666,10.333333333333334,13.0,-2.666666666666666,10.333333333333334,13.0,-2.666666666666666
parent-04,3,0.34355237972718927,0.2195774479191168,0.12397493180807248,6.0,5.0,1.0,6.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.803870004701277,5.811131532874902,0.9927384718263745,6.0,4.0,2.0,1.3333333333333333,6.0,-4.666666666666667,0.0,4.666666666666667,-4.666666666666667,10.333333333333334,10.666666666666666,-0.33333333333333215,3.0,0.6666666666666666,2.3333333333333335,10.333333333333334,10.666666666666666,-0.33333333333333215,10.333333333333334,10.666666666666666,-0.33333333333333215,10.333333333333334,10.666666666666666,-0.33333333333333215
parent-05,3,0.3510200200109261,0.22400711412489183,0.12701290588603426,6.0,5.0,1.0,6.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.538743850502925,5.114334850003741,0.4244090004991845,5.0,5.0,0.0,3.0,5.333333333333333,-2.333333333333333,0.0,4.666666666666667,-4.666666666666667,11.0,11.0,0.0,3.0,0.6666666666666666,2.3333333333333335,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0
parent-06,3,0.18722213720390757,0.10329647092374368,0.08392566628016389,4.666666666666667,4.0,0.666666666666667,4.666666666666667,4.0,0.666666666666667,2.0,1.0,1.0,2.0,1.0,1.0,5.754142965490995,5.039661302413646,0.7144816630773487,4.333333333333333,3.3333333333333335,0.9999999999999996,2.0,4.666666666666667,-2.666666666666667,0.0,3.6666666666666665,-3.6666666666666665,13.0,12.666666666666666,0.3333333333333339,6.666666666666667,4.666666666666667,2.0,13.0,12.666666666666666,0.3333333333333339,13.0,12.666666666666666,0.3333333333333339,13.0,12.666666666666666,0.3333333333333339
parent-07,3,0.3018393234804593,0.2192191482807607,0.08262017519969858,5.666666666666667,5.0,0.666666666666667,5.666666666666667,5.0,0.666666666666667,2.0,1.0,1.0,2.0,1.0,1.0,6.732265893585534,5.731486443472392,1.0007794501131428,6.666666666666667,4.333333333333333,2.333333333333334,2.3333333333333335,7.0,-4.666666666666666,0.0,5.0,-5.0,12.666666666666666,12.333333333333334,0.33333333333333215,3.6666666666666665,1.0,2.6666666666666665,12.666666666666666,12.333333333333334,0.33333333333333215,12.666666666666666,12.333333333333334,0.33333333333333215,12.666666666666666,12.333333333333334,0.33333333333333215
